Date,AAPL,AMZN,FB,GOOG,MSFT
2017/11/3,172.5,1111.599976,178.919998,1032.47998,84.139999
2017/11/2,168.110001,1094.219971,178.919998,1025.579956,84.050003
2017/11/1,166.889999,1103.680054,182.660004,1025.5,83.18
2017/10/31,169.039993,1105.280029,180.059998,1016.640015,83.18
2017/10/30,166.720001,1110.849976,179.869995,1017.109985,83.889999
2017/10/27,163.050003,1100.949951,177.880005,1019.27002,83.809998
2017/10/26,157.410004,972.429993,170.630005,972.559998,78.760002
2017/10/25,156.410004,972.909973,170.600006,973.330017,78.629997
2017/10/24,157.100006,975.900024,171.800003,970.539978,78.860001
2017/10/23,156.169998,966.299988,171.270004,968.450012,78.830002
2017/10/20,156.25,982.909973,174.979996,988.200012,78.809998
2017/10/19,155.979996,986.609985,174.559998,984.450012,77.910004
2017/10/18,159.759995,997,176.029999,992.809998,77.610001
2017/10/17,160.470001,1009.130005,176.110001,992.179993,77.589996
2017/10/16,159.880005,1006.340027,174.520004,992,77.650002
2017/10/13,156.990005,1002.940002,173.740005,989.679993,77.489998
2017/10/12,156,1000.929993,172.550003,987.830017,77.120003
2017/10/11,156.550003,995,172.740005,989.25,76.419998
2017/10/10,155.899994,987.200012,171.589996,972.599976,76.290001
2017/10/9,155.839996,990.98999,172.5,977,76.290001
2017/10/6,155.300003,989.580017,172.229996,978.890015,76
2017/10/5,155.389999,980.849976,171.240005,969.960022,75.970001
2017/10/4,153.479996,965.450012,168.419998,951.679993,74.690002
2017/10/3,154.479996,957.099976,169.960007,957.789978,74.260002
2017/10/2,153.809998,959.190002,169.470001,953.27002,74.610001
2017/9/29,154.119995,961.349976,170.869995,959.109985,74.489998
2017/9/28,153.279999,956.400024,168.729996,949.5,73.870003
2017/9/27,154.229996,950.869995,167.679993,944.48999,73.849998
2017/9/26,153.139999,938.599976,164.210007,924.859985,73.260002
2017/9/25,150.550003,939.789978,162.869995,920.969971,73.260002
2017/9/22,151.889999,955.099976,170.539993,928.530029,74.410004
2017/9/21,153.389999,964.650024,171.110001,932.450012,74.209999
2017/9/20,156.070007,973.210022,172.169998,931.580017,74.940002
2017/9/19,158.729996,969.859985,172.520004,921.809998,75.440002
2017/9/18,158.669998,974.190002,170.009995,915,75.160004
2017/9/15,159.880005,986.789978,171.639999,920.289978,75.309998
2017/9/14,158.279999,992.210022,170.960007,925.109985,74.769997
2017/9/13,159.649994,999.599976,173.050003,935.090027,75.209999
2017/9/12,160.860001,982.580017,172.960007,932.070007,74.68
2017/9/11,161.5,977.960022,173.509995,929.080017,74.760002
2017/9/8,158.630005,965.900024,170.949997,926.5,73.980003
2017/9/7,161.259995,979.469971,173.210007,935.950012,74.339996
2017/9/6,161.910004,967.799988,172.089996,927.809998,73.400002
2017/9/5,162.080002,965.27002,170.720001,928.450012,73.610001
2017/9/1,164.050003,978.25,172.020004,937.340027,73.940002
2017/8/31,164,980.599976,171.970001,939.330017,74.769997
2017/8/30,163.350006,967.590027,169.919998,929.570007,74.010002
2017/8/29,162.910004,954.059998,168.050003,921.289978,73.050003
2017/8/28,161.470001,946.02002,167.240005,913.809998,72.830002
